Date,AMZN,DPZ,BTC,NFLX,AMZN_Return,DPZ_Return,BTC_Return,NFLX_Return,AMZN_CumulativeReturn,DPZ_CumulativeReturn,BTC_CumulativeReturn,NFLX_CumulativeReturn
2018-07-20,1813.699951,275.294983,7405.399902,361.049988,0.00040264318310656577,0.0015176743551446048,0.009745078598359491,-0.00873080993866815,6.3065301543976355,4.377802239117012,68.69788143058808,10.870508382607767
2018-07-23,1802.0,269.911621,8395.820313,362.660004,-0.006450874629813641,-0.01955488596753674,0.13374300160785557,0.004459260638446594,6.259396644392663,4.272639929575115,78.01948529882335,10.92344207339668
2018-07-24,1829.23999,261.290344,8170.22998,357.320007,0.015116531631520491,-0.031941110827532815,-0.0268693617287995,-0.014724526942871963,6.369133543393379,4.104225953230882,75.89628216470571,10.747875029335178
2018-07-25,1863.609985,260.42627,7937.25,362.869995,0.018789221309337245,-0.0033069496054550784,-0.028515718721543237,0.015532262093569393,6.507593824398258,4.087346535228692,73.70352941176453,10.930346103333312
2018-07-26,1808.0,258.24115,8182.890137,363.089996,-0.02983992651230616,-0.008390551383314682,0.03094776364609908,0.0006062804944784173,6.28356777639397,4.0446608927201275,76.01543658352924,10.937579239468139
2018-07-27,1817.27002,258.936401,8230.870117,355.209991,0.005127223451327323,0.002692254894310908,0.005863451567442279,-0.021702622178552122,6.320912255906429,4.058242405698692,76.46701286588218,10.678502467507434
2018-07-30,1779.219971,254.675415,7735.299805,334.959991,-0.02093802714029258,-0.016455724199240684,-0.060208739167983194,-0.05700853160968666,6.16762679640056,3.975005363737611,71.80282169411748,10.012728190434732
2018-07-31,1777.439941,260.883118,7610.899902,337.450012,-0.0010004552719804494,0.024374959789503103,-0.01608210491332074,0.007433786323453706,6.160455906384513,4.096270919431277,70.63199907764691,10.0945944586407
2018-08-01,1797.170044,268.511169,7542.339844,338.380005,0.011100292361439612,0.02923934311456655,-0.009008140808944742,0.002755943004678185,6.239939060386578,4.245282533449316,69.98672794352926,10.12517052862873
2018-08-02,1834.329956,274.877808,7417.600098,344.5,0.020676903737663288,0.023710890774901072,-0.016538600564284023,0.018086160262335893,6.389638583404739,4.369652854683429,68.81270680470573,10.326382145755327
2018-08-03,1823.290039,277.609192,7017.890137,343.089996,-0.006018501177440294,0.009936720682813371,-0.05388669592848139,-0.004092899854862164,6.34516403488966,4.42300959526409,65.05073070117632,10.28002439791485
2018-08-06,1847.75,278.244904,6723.209961,350.920013,0.013415288010576454,0.0022899529926228013,-0.04198985311074854,0.02282204987405101,6.4437015259026325,4.435428032315787,62.277270221176316,10.537457677304575
2018-08-07,1862.47998,275.57309,6285.02002,351.829987,0.007971846840752361,-0.009602382511199714,-0.06517570379950233,0.0025931094445732494,6.503041574395403,4.383234973237394,58.15312959999986,10.567375567773958
2018-08-08,1886.52002,284.979004,6543.240234,347.609985,0.012907542769936109,0.03413219338651685,0.041085026488109744,-0.011994435255457736,6.59988740442152,4.566976590388993,60.58343749647044,10.428631430450729
2018-08-09,1898.52002,289.478394,6153.410156,349.359985,0.006360918449198394,0.015788496474638647,-0.05957752796150817,0.005034377824330916,6.648229668424135,4.654870780660746,56.91444852705868,10.48616747908664
2018-08-10,1886.300049,289.339325,6242.540039,345.869995,-0.006436577371462193,-0.000480412365421623,0.014484632218623172,-0.009989667248239575,6.59900124640861,4.652154110812855,57.75331801411751,10.371424488013014
2018-08-13,1896.199951,286.647675,6199.600098,341.309998,0.005248317734630081,-0.009302745141884783,-0.0068786008150104605,-0.013184135848499978,6.638883219415613,4.599573561617307,57.34917739294103,10.22150208277209
2018-08-14,1919.650024,285.565033,6274.220215,337.48999,0.012366877758663186,-0.00377690835971356,0.01203627908581928,-0.011192194844523828,6.733352354402829,4.578424485421603,58.05148437647045,10.095908845013476
2018-08-15,1882.619995,282.267456,6323.810059,326.399994,-0.019289989600729474,-0.011547551762053576,0.007903746170949466,-0.03286022201725147,6.584176067907621,4.514007339925491,58.51821231999986,9.731294816883148
2018-08-16,1886.52002,285.773621,6591.160156,322.440002,0.0020715943793001568,0.012421428420001712,0.04227674368864198,-0.012132328654393287,6.599887404421521,4.582499187405739,61.03444852705867,9.601099221277535
